X,Y,temperatura
-4424949.759,17170933.41,-32.9
-4369290.014,17170933.41,-32.9
-4313630.268,17170933.41,-34.3
-4257970.523,17170933.41,-32.8
-4202310.777,17170933.41,-32.8
-4146651.032,17170933.41,-32.8
-4090991.287,17170933.41,-32.7
-4035331.541,17170933.41,-32.8
-3979671.796,17170933.41,-32.9
-3924012.05,17170933.41,-32.9
-3868352.305,17170933.41,-32.8
-3812692.56,17170933.41,-32.7
-3757032.814,17170933.41,-32.4
-3701373.069,17170933.41,-32.5
-3645713.323,17170933.41,-32.5
-3590053.578,17170933.41,-32.6
-3534393.833,17170933.41,-33.5
-3478734.087,17170933.41,-33.4
-3423074.342,17170933.41,-33.3
-3367414.596,17170933.41,-33.2
-3311754.851,17170933.41,-33.1
-3256095.106,17170933.41,-33
-3200435.36,17170933.41,-32.7
-3144775.615,17170933.41,-32.7
-3089115.87,17170933.41,-32.4
-3033456.124,17170933.41,-32.2
-2977796.379,17170933.41,-32
-2922136.633,17170933.41,-31.8
-2866476.888,17170933.41,-31.5
-2810817.143,17170933.41,-31
-2755157.397,17170933.41,-30.3
-2699497.652,17170933.41,-29.6
-2643837.906,17170933.41,-29.2
-2588178.161,17170933.41,-29
-2532518.416,17170933.41,-28.9
-2476858.67,17170933.41,-28.8
-2421198.925,17170933.41,-28.4
-2365539.179,17170933.41,-27.9
-2309879.434,17170933.41,-27.4
-2254219.689,17170933.41,-27.2
-2198559.943,17170933.41,-27.1
-2142900.198,17170933.41,-26.8
-10213563.28,16770871.79,-37.2
-10157903.53,16770871.79,-37.2
-10102243.79,16770871.79,-37.2
-10046584.04,16770871.79,-37.2
-9990924.299,16770871.79,-37.2
-9935264.553,16770871.79,-37.2
-9879604.808,16770871.79,-35.4
-9823945.063,16770871.79,-34.8
-9768285.317,16770871.79,-34.9
-9712625.572,16770871.79,-35.3
-9656965.826,16770871.79,-35.1
-9601306.081,16770871.79,-34.6
-9545646.336,16770871.79,-34.5
-9489986.59,16770871.79,-33.9
-9434326.845,16770871.79,-39
-9378667.099,16770871.79,-39.2
-9323007.354,16770871.79,-39.6
-9267347.609,16770871.79,-39.8
-9211687.863,16770871.79,-39.9
-9156028.118,16770871.79,-39.7
-9100368.372,16770871.79,-39.3
-9044708.627,16770871.79,-39
-8989048.882,16770871.79,-39
-8933389.136,16770871.79,-39.1
-8877729.391,16770871.79,-38.8
-8822069.645,16770871.79,-38.8
-8766409.9,16770871.79,-39.3
-8710750.155,16770871.79,-39.5
-8655090.409,16770871.79,-39.3
-8599430.664,16770871.79,-39
-8543770.918,16770871.79,-39.2
-8488111.173,16770871.79,-39.2
-8432451.428,16770871.79,-38.9
-8376791.682,16770871.79,-38.9
-8321131.937,16770871.79,-38.6
-8265472.191,16770871.79,-38.3
-8209812.446,16770871.79,-37.8
-8154152.701,16770871.79,-37.5
-8098492.955,16770871.79,-37.4
-8042833.21,16770871.79,-37.3
-7987173.464,16770871.79,-33.6
-7931513.719,16770871.79,-33.9
-7875853.974,16770871.79,-34.5
-7820194.228,16770871.79,-35
-7764534.483,16770871.79,-36.8
-7708874.737,16770871.79,-34.9
-7653214.992,16770871.79,-34.7
-7597555.247,16770871.79,-34.7
-7541895.501,16770871.79,-34.5
-7486235.756,16770871.79,-34.6
-7430576.01,16770871.79,-34.7
-7374916.265,16770871.79,-34.6
-7319256.52,16770871.79,-34.4
-7263596.774,16770871.79,-34.3
-7207937.029,16770871.79,-34.5
-7152277.283,16770871.79,-34.5
-7096617.538,16770871.79,-36.1
-7040957.793,16770871.79,-35.5
-6985298.047,16770871.79,-35.3
-6873978.556,16770871.79,-35.3
-6818318.811,16770871.79,-36
-6762659.066,16770871.79,-36.1
-6706999.32,16770871.79,-34.3
-6651339.575,16770871.79,-35.9
-6595679.83,16770871.79,-35.4
-6540020.084,16770871.79,-35.7
-6484360.339,16770871.79,-35.7
-6428700.593,16770871.79,-33.9
-6373040.848,16770871.79,-33.8
-6317381.103,16770871.79,-33.7
-6261721.357,16770871.79,-33.6
-6206061.612,16770871.79,-33.5
-6150401.866,16770871.79,-33.4
-6094742.121,16770871.79,-33.4
-6039082.376,16770871.79,-35.2
-5983422.63,16770871.79,-34.8
-5927762.885,16770871.79,-33.5
-5872103.139,16770871.79,-33.2
-5816443.394,16770871.79,-33.1
-5760783.649,16770871.79,-33.2
-5705123.903,16770871.79,-33.3
-5649464.158,16770871.79,-33.4
-5593804.412,16770871.79,-34.6
-5538144.667,16770871.79,-33
-5482484.922,16770871.79,-33
-5426825.176,16770871.79,-33
-5371165.431,16770871.79,-33
-5315505.685,16770871.79,-33
-5259845.94,16770871.79,-33.1
-5204186.195,16770871.79,-33.2
-5148526.449,16770871.79,-33.3
-5092866.704,16770871.79,-34.3
-5037206.958,16770871.79,-34.3
-4981547.213,16770871.79,-33.3
-4925887.468,16770871.79,-33.2
-4870227.722,16770871.79,-32.9
-4814567.977,16770871.79,-34.3
-4758908.231,16770871.79,-34.3
-4703248.486,16770871.79,-34.5
-4647588.741,16770871.79,-34.5
-4591928.995,16770871.79,-34.6
-4536269.25,16770871.79,-34.6
-4480609.504,16770871.79,-34.6
-4424949.759,16770871.79,-34.6
-4369290.014,16770871.79,-34.5
-4313630.268,16770871.79,-34.4
-4257970.523,16770871.79,-34.3
-4202310.777,16770871.79,-34.2
-4146651.032,16770871.79,-34
-4090991.287,16770871.79,-32.2
-4035331.541,16770871.79,-32
-3979671.796,16770871.79,-32
-3924012.05,16770871.79,-31.8
-3868352.305,16770871.79,-31.9
-3812692.56,16770871.79,-31.9
-3757032.814,16770871.79,-32.9
-3701373.069,16770871.79,-31.6
-3645713.323,16770871.79,-31.2
-3590053.578,16770871.79,-31.1
-3534393.833,16770871.79,-31.1
-3478734.087,16770871.79,-30.9
-3423074.342,16770871.79,-30.8
-3367414.596,16770871.79,-30.5
-3311754.851,16770871.79,-30.1
-3256095.106,16770871.79,-30
-3200435.36,16770871.79,-29.8
-3144775.615,16770871.79,-29.6
-3089115.87,16770871.79,-29.5
-3033456.124,16770871.79,-29.2
-2977796.379,16770871.79,-29.8
-2922136.633,16770871.79,-29.4
-2866476.888,16770871.79,-28.7
-2810817.143,16770871.79,-28.3
-2755157.397,16770871.79,-27.8
-2699497.652,16770871.79,-27.5
-2643837.906,16770871.79,-26.3
-2588178.161,16770871.79,-27.1
-2532518.416,16770871.79,-26.9
-2476858.67,16770871.79,-26.7
-2421198.925,16770871.79,-26.6
-2365539.179,16770871.79,-26.5
-2309879.434,16770871.79,-26.4
-2254219.689,16770871.79,-26.3
-2198559.943,16770871.79,-26.2
